,mal_id,title_english,popularity,score,rating,genres,studios,themes,demographics,synopsis,neighbor,cluster,images_url
46,40748,Jujutsu Kaisen,20,8.66,R - 17+ (violence & profanity),"['Action', 'Award Winning', 'Fantasy']",MAPPA,School,Shounen,"['spirits', 'school', 'sorcerers', 'geto', 'curse', 'cursed', 'kenjaku', 'jujutsu', 'satoru', 'yuji']","[344, 746, 772, 618, 115, 283, 687, 703, 188, 375, 82, 525, 788, 554, 269, 281, 450, 558, 638, 447, 18, 803, 58, 19, 387, 336, 72, 110, 253, 631, 97, 784, 174, 87, 0, 564, 583, 241, 608, 610, 858]",21,https://cdn.myanimelist.net/images/anime/1171/109222.jpg
47,23273,Your Lie in April,22,8.66,PG-13 - Teens 13 or older,"['Drama', 'Romance']",A-1 Pictures,"['Music', 'School']",Shounen,"['love', 'old', 'later', 'tsubaki', 'free', 'play', 'playing', 'piano', 'kaori', 'kōsei']","[361, 155, 719, 565, 100, 848, 201, 463, 799, 534, 213, 701, 518, 604, 613, 417, 595, 517, 577, 427, 740, 177, 263, 669, 769, 294, 677, 325, 658, 468, 756, 655, 513, 267, 520, 307, 680, 147, 308, 838, 854, 337, 301, 13, 607, 380, 428, 764]",8,https://cdn.myanimelist.net/images/anime/3/67177.jpg
48,50172,Mob Psycho 100 III,490,8.65,PG-13 - Teens 13 or older,"['Action', 'Comedy', 'Supernatural']",Bones,Super Power,[],"['order', 'coming', 'spirit', 'limits', 'little', 'life', 'control', 'like', 'power', 'mob']","[22, 88, 36, 149, 30, 45, 57]",2,https://cdn.myanimelist.net/images/anime/1228/125011.jpg
49,11665,Natsume's Book of Friends Season 4,908,8.65,PG-13 - Teens 13 or older,"['Drama', 'Slice of Life', 'Supernatural']",Brain's Base,"['Iyashikei', 'Mythology']",Shoujo,"['help', 'monkey', 'book', 'madara', 'old', 'sensei', 'youkai', 'nyanko', 'friends', 'natsume']","[59, 66, 136, 62, 53]",34,https://cdn.myanimelist.net/images/anime/3/37449.jpg
50,40591,Kaguya-sama: Love is War Season 2,96,8.65,PG-13 - Teens 13 or older,Comedy,A-1 Pictures,"['Psychological', 'Romantic Subtext', 'School']",Seinen,"['rewrite', 'fight', 'august', 'shinomiya', 'coming', 'title', 'student', 'kaguya', 'miyuki', 'council']","[105, 198, 458, 766, 736, 685, 2, 603, 819, 331, 605, 433, 585, 837, 512, 673, 85, 702, 230, 718, 633, 857, 454, 310, 521]",26,https://cdn.myanimelist.net/images/anime/1764/106659.jpg
51,28891,Haikyu!! 2nd Season,84,8.64,PG-13 - Teens 13 or older,Sports,Production I.G,"['School', 'Team Sports']",Shounen,"['weapon', 'japan', 'hope', 'team', 'players', 'teams', 'new', 'karasuno', 'high', 'volleyball']","[25, 68, 119, 95, 244, 146, 405, 723, 70, 166, 144, 183, 270, 396, 322, 148, 172, 127, 714, 54, 856]",29,https://cdn.myanimelist.net/images/anime/9/76662.jpg
52,2001,Gurren Lagann,62,8.63,PG-13 - Teens 13 or older,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Sci-Fi']",Gainax,Mecha,[],"['nia', 'spirals', 'anti', 'lordgenome', 'lagann', 'team', 'gunmen', 'kamina', 'gurren', 'simon']","[499, 728, 169, 722, 814, 449, 590, 539, 124, 324, 737, 282, 44, 255, 676, 60, 378, 139, 774, 231, 228, 852, 706, 502, 665, 448, 691, 807, 820, 698, 713, 490, 553, 74, 296, 132, 276, 368, 545, 401, 34]",9,https://cdn.myanimelist.net/images/anime/4/5123.jpg
53,34591,Natsume's Book of Friends Season 6,1214,8.62,PG-13 - Teens 13 or older,"['Drama', 'Slice of Life', 'Supernatural']",Shuka,"['Iyashikei', 'Mythology']",Shoujo,"['allow', 'world', 'control', 'peace', 'friends', 'encounters', 'reiko', 'book', 'natsume', 'youkai']","[62, 136, 66, 59, 49]",34,https://cdn.myanimelist.net/images/anime/6/84416.jpg
54,22135,Ping Pong the Animation,559,8.62,PG-13 - Teens 13 or older,"['Award Winning', 'Drama', 'Sports']",Tatsunoko Production,[],Seinen,"['team', 'katase', 'school', 'high', 'best', 'pong', 'player', 'ping', 'smile', 'peco']","[714, 148, 127, 322, 396, 119, 405, 51, 25, 68, 723, 172, 70, 95, 166, 244, 146, 183, 144, 270, 856]",29,https://cdn.myanimelist.net/images/anime/10/58041.jpg
55,35760,Attack on Titan Season 3,17,8.62,R - 17+ (violence & profanity),"['Action', 'Drama']",Wit Studio,"['Gore', 'Military', 'Survival']",Shounen,"['form', 'humans', 'government', 'squad', 'walls', 'levi', 'krista', 'soldiers', 'titans', 'eren']","[5, 23, 26, 84, 73]",33,https://cdn.myanimelist.net/images/anime/1173/92110.jpg
